"região" "ano" "pop" "faixa"
"104" "Sul" 2016 1848274 "0-4 anos"
"105" "Centro-Oeste" 2016 1127422 "0-4 anos"
"106" "Norte" 2017 1620668 "0-4 anos"
"107" "Nordeste" 2017 4372056 "0-4 anos"
"108" "Sudeste" 2017 5417131 "0-4 anos"
"109" "Sul" 2017 1830549 "0-4 anos"
"110" "Centro-Oeste" 2017 1120374 "0-4 anos"
"111" "Norte" 2018 1598808 "0-4 anos"
"112" "Nordeste" 2018 4299747 "0-4 anos"
"113" "Sudeste" 2018 5357505 "0-4 anos"
"114" "Sul" 2018 1813396 "0-4 anos"
"115" "Centro-Oeste" 2018 1113510 "0-4 anos"
"116" "Norte" 2019 1576729 "0-4 anos"
"117" "Nordeste" 2019 4231410 "0-4 anos"
"118" "Sudeste" 2019 5299755 "0-4 anos"
"119" "Sul" 2019 1796612 "0-4 anos"
"120" "Centro-Oeste" 2019 1106826 "0-4 anos"
"121" "Norte" 2020 1554644 "0-4 anos"
"122" "Nordeste" 2020 4166688 "0-4 anos"
"123" "Sudeste" 2020 5243452 "0-4 anos"
"124" "Sul" 2020 1780126 "0-4 anos"
"125" "Centro-Oeste" 2020 1100348 "0-4 anos"
"126" "Norte" 1996 1446520 "5-9 anos"
"127" "Nordeste" 1996 5272743 "5-9 anos"
"128" "Sudeste" 1996 6279880 "5-9 anos"
"129" "Sul" 1996 2294660 "5-9 anos"
"130" "Centro-Oeste" 1996 1102131 "5-9 anos"
"131" "Norte" 1997 1486929 "5-9 anos"
"132" "Nordeste" 1997 5337179 "5-9 anos"
"133" "Sudeste" 1997 6383987 "5-9 anos"
"134" "Sul" 1997 2328925 "5-9 anos"
"135" "Centro-Oeste" 1997 1130843 "5-9 anos"
"136" "Norte" 1998 1520794 "5-9 anos"
"137" "Nordeste" 1998 5391302 "5-9 anos"
"138" "Sudeste" 1998 6471561 "5-9 anos"
"139" "Sul" 1998 2357520 "5-9 anos"
"140" "Centro-Oeste" 1998 1155001 "5-9 anos"
"141" "Norte" 1999 1554726 "5-9 anos"
"142" "Nordeste" 1999 5445523 "5-9 anos"
"143" "Sudeste" 1999 6559299 "5-9 anos"
"144" "Sul" 1999 2386051 "5-9 anos"
"145" "Centro-Oeste" 1999 1179195 "5-9 anos"
"146" "Norte" 2000 1681814 "5-9 anos"
"147" "Nordeste" 2000 5394073 "5-9 anos"
"148" "Sudeste" 2000 6613911 "5-9 anos"
