"regiao" "macrorregiao" "ano" "casos" "faixa_etaria"
"89" "Sul" "PLANALTO" 1996 0 "menor que 1"
"90" "Sul" "MEIO" 1996 0 "menor que 1"
"91" "Sul" "GRANDE" 1996 1 "menor que 1"
"92" "Sul" "GRANDE" 1996 0 "menor que 1"
"93" "Sul" "FOZ" 1996 0 "menor que 1"
"94" "Sul" "ALTO" 1996 2 "menor que 1"
"95" "Sul" "VALES" 1996 0 "menor que 1"
"96" "Sul" "SUL" 1996 0 "menor que 1"
"97" "Sul" "SERRA" 1996 0 "menor que 1"
"98" "Sul" "SERRA" 1996 1 "menor que 1"
"99" "Sul" "MISSIONEIRA" 1996 0 "menor que 1"
"100" "Sul" "METROPOLITANA" 1996 0 "menor que 1"
"101" "Sul" "CENTRO" 1996 0 "menor que 1"
"102" "Centro-Oeste" "TRES" 1996 0 "menor que 1"
"103" "Centro-Oeste" "DOURADOS" 1996 0 "menor que 1"
"104" "Centro-Oeste" "CORUMBA" 1996 0 "menor que 1"
"105" "Centro-Oeste" "CAMPO" 1996 1 "menor que 1"
"106" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"107" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"108" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"109" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"110" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"111" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"112" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"113" "Centro-Oeste" "MACRORREGIAO" 1996 1 "menor que 1"
"114" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"115" "Centro-Oeste" "MACRORREGIAO" 1996 0 "menor que 1"
"116" "Centro-Oeste" "MACRORREGI" 1996 2 "menor que 1"
"117" "Centro-Oeste" "MACRORREGI" 1996 0 "menor que 1"
"118" "Centro-Oeste" "MACRORREGI" 1996 0 "menor que 1"
"119" "Centro-Oeste" "MACRORREGI" 1996 0 "menor que 1"
"120" "Norte" "MACRORREGIONAL" 1997 0 "menor que 1"
"121" "Norte" "MACRORREGIAO" 1997 0 "menor que 1"
"122" "Norte" "MACRO" 1997 0 "menor que 1"
"123" "Norte" "OESTE" 1997 0 "menor que 1"
"124" "Norte" "LESTE" 1997 0 "menor que 1"
"125" "Norte" "CENTRAL" 1997 1 "menor que 1"
"126" "Norte" "MACRO" 1997 0 "menor que 1"
"127" "Norte" "MACRORREGIONAL" 1997 0 "menor que 1"
"128" "Norte" "MACRORREGIONAL" 1997 0 "menor que 1"
"129" "Norte" "MACRORREGIONAL" 1997 0 "menor que 1"
"130" "Norte" "MACRORREGIONAL" 1997 0 "menor que 1"
